Date,ALBSA, ALBSA: Aleutian Low - Beaufort Sea Anticyclone https://psl.noaa.gov/data/timeseries/ALBSA/ Using 850mb height from  NCEP R1 4 pts:
1/1/97,-124.968,
2/1/97,-114.179,
3/1/97,28.581,
4/1/97,-13.9,
5/1/97,69.903,
6/1/97,-2.967,
7/1/97,80,
8/1/97,138.677,
9/1/97,-18.367,
10/1/97,-57.936,
11/1/97,41.5,
12/1/97,-93.258,
1/1/98,-234.226,
2/1/98,-252.25,
3/1/98,-32.935,
4/1/98,36.567,
5/1/98,22.129,
6/1/98,21.067,
7/1/98,38.774,
8/1/98,183.677,
9/1/98,28.6,
10/1/98,-18.419,
11/1/98,-50.2,
12/1/98,13.29,
1/1/99,26.71,
2/1/99,-6.429,
3/1/99,-26.903,
4/1/99,34.3,
5/1/99,-18,
6/1/99,-25.133,
7/1/99,118.774,
8/1/99,43.581,
9/1/99,59.367,
10/1/99,-112.581,
11/1/99,1.367,
12/1/99,-118.936,
1/1/00,50.258,
2/1/00,-80.517,
3/1/00,-170.871,
4/1/00,-57.067,
5/1/00,0.129,
6/1/00,36.067,
7/1/00,100.355,
8/1/00,161.29,
9/1/00,84.933,
10/1/00,52.839,
11/1/00,-58.367,
12/1/00,-159.452,
1/1/01,-194.355,
2/1/01,140.536,
3/1/01,-93.613,
4/1/01,43.067,
5/1/01,-47.064,
6/1/01,129.567,
7/1/01,138.097,
8/1/01,107.129,
9/1/01,16.567,
10/1/01,-40.097,
11/1/01,-110.133,
12/1/01,-83.645,
1/1/02,-51.871,
2/1/02,-96.857,
3/1/02,118.161,
4/1/02,162.7,
5/1/02,68.903,
6/1/02,14.833,
7/1/02,110.742,
8/1/02,36.097,
9/1/02,144.3,
10/1/02,-67.355,
11/1/02,-213.3,
12/1/02,-38.194,
1/1/03,-172.935,
2/1/03,-105.464,
3/1/03,-28.548,
4/1/03,94.5,
5/1/03,32,
6/1/03,21.1,
7/1/03,137.194,
8/1/03,90.774,
9/1/03,-15.633,
10/1/03,-92.032,
11/1/03,274.933,
12/1/03,15.194,
1/1/04,-166.097,
2/1/04,-165.828,
3/1/04,5.774,
4/1/04,-10.9,
5/1/04,41.129,
6/1/04,13.467,
7/1/04,122.161,
8/1/04,68.677,
9/1/04,79.8,
10/1/04,41.226,
11/1/04,65.833,
12/1/04,-10.064,
1/1/05,20.581,
2/1/05,-61.643,
3/1/05,-96.387,
4/1/05,-42.933,
5/1/05,-148.129,
6/1/05,-4.933,
7/1/05,20.871,
8/1/05,125.29,
9/1/05,115.867,
10/1/05,11.129,
11/1/05,-89.833,
12/1/05,-218.774,
1/1/06,-90.903,
2/1/06,194.714,
3/1/06,80.129,
4/1/06,-30.6,
5/1/06,52.484,
6/1/06,70.567,
7/1/06,70.871,
8/1/06,66.258,
9/1/06,9.4,
10/1/06,77.581,
11/1/06,-43.3,
12/1/06,-70.484,
1/1/07,-13.129,
2/1/07,-17.179,
3/1/07,16.774,
4/1/07,-172.467,
5/1/07,-11.613,
6/1/07,38.233,
7/1/07,3.774,
8/1/07,108.097,
9/1/07,102.333,
10/1/07,-72.193,
11/1/07,-28.3,
12/1/07,-29.032,
1/1/08,131.71,
2/1/08,-92.483,
3/1/08,-163.968,
4/1/08,110.333,
5/1/08,-115.903,
6/1/08,76.7,
7/1/08,52.161,
8/1/08,-33.516,
9/1/08,12.4,
10/1/08,31.193,
11/1/08,-83.533,
12/1/08,63.903,
1/1/09,-92.839,
2/1/09,290.036,
3/1/09,-48.226,
4/1/09,114.267,
5/1/09,92.71,
6/1/09,-51.7,
7/1/09,42.323,
8/1/09,110.742,
9/1/09,-61.1,
10/1/09,-60.871,
11/1/09,-32.667,
12/1/09,-112.677,
1/1/10,-145.29,
2/1/10,-196.5,
3/1/10,-60.29,
4/1/10,1.267,
5/1/10,-130.581,
6/1/10,-18.2,
7/1/10,76.581,
8/1/10,153.871,
9/1/10,79.267,
10/1/10,-139.839,
11/1/10,55.9,
12/1/10,-33.516,
1/1/11,-14.871,
2/1/11,275.964,
3/1/11,26.484,
4/1/11,-26.267,
5/1/11,-7.097,
6/1/11,22.067,
7/1/11,107.452,
8/1/11,63.322,
9/1/11,-67.033,
10/1/11,23.452,
11/1/11,89.5,
12/1/11,19.258,
1/1/12,-77.387,
2/1/12,-26.862,
3/1/12,-34.29,
4/1/12,-69.1,
5/1/12,-82.968,
6/1/12,64.667,
7/1/12,117.323,
8/1/12,158.935,
9/1/12,-10.033,
10/1/12,2.355,
11/1/12,-87.833,
12/1/12,-24.484,
1/1/13,-116.935,
2/1/13,-102.786,
3/1/13,110.581,
4/1/13,-72.567,
5/1/13,34.226,
6/1/13,86.3,
7/1/13,167.484,
8/1/13,51.484,
9/1/13,20.8,
10/1/13,27.323,
11/1/13,178.6,
12/1/13,7.581,
1/1/14,-33.452,
2/1/14,-110.786,
3/1/14,-41.645,
4/1/14,-36.033,
5/1/14,150.742,
6/1/14,19.367,
7/1/14,71.323,
8/1/14,16.774,
9/1/14,21.567,
10/1/14,-92.395,
11/1/14,-58.467,
12/1/14,-99.919,
1/1/15,-82.185,
2/1/15,-64.527,
3/1/15,-34.903,
4/1/15,-31.575,
5/1/15,61.355,
6/1/15,87.825,
7/1/15,26.702,
8/1/15,153.242,
9/1/15,62.408,
10/1/15,-52.21,
11/1/15,73.6,
12/1/15,-105.363,
1/1/16,-231.831,
2/1/16,-229.595,
3/1/16,-200.266,
4/1/16,-216.392,
5/1/16,35.823,
6/1/16,98.508,
7/1/16,147.984,
8/1/16,99.71,
9/1/16,107.433,
10/1/16,52.315,
11/1/16,-70.5,
12/1/16,184.186,
1/1/17,104.145,
2/1/17,125.938,
3/1/17,32.637,
4/1/17,-55.7,
5/1/17,-8.266,
6/1/17,-34,
7/1/17,182.347,
8/1/17,20.839,
9/1/17,7.167,
10/1/17,127.96,
11/1/17,216.15,
12/1/17,-2.581,
1/1/18,-56.5,
2/1/18,250.428,
3/1/18,232.153,
4/1/18,-27.933,
5/1/18,-40.871,
6/1/18,-29.717,
7/1/18,171.452,
8/1/18,151.339,
9/1/18,118.442,
10/1/18,-72.314,
11/1/18,-85.783,
12/1/18,-28.968,
1/1/19,14.105,
2/1/19,392.009,
3/1/19,127.718,
4/1/19,-86.033,
5/1/19,-89.121,
6/1/19,22.975,
7/1/19,123.516,
8/1/19,135.718,
9/1/19,98.8,
10/1/19,74.677,
11/1/19,51.583,
12/1/19,-97.25,
1/1/20,32.266,
2/1/20,68,
3/1/20,312.073,
4/1/20,140.958,
5/1/20,-67.024,
6/1/20,-44.975,
7/1/20,63.46,
8/1/20,16.129,
9/1/20,-5.65,
10/1/20,15.266,
11/1/20,128.042,
12/1/20,-101.089,