"date","curl"
1996-12-01,0.0500903441414786
1997-01-01,0.250146201689772
1997-02-01,0.168823979222604
1997-03-01,0.0823968146883306
1997-04-01,0.123908220058573
1997-05-01,0.122637721368976
1997-06-01,0.0112521908694838
1997-07-01,-0.0392955244734323
1997-08-01,0.0212199864444777
1997-09-01,0.0597994116999741
1997-10-01,0.0215450136740747
1997-11-01,0.076947552405164
1997-12-01,0.111725701274173
1998-01-01,0.0582140086491043
1998-02-01,0.224400637655414
1998-03-01,-0.0596372180707043
1998-04-01,0.204026619848307
1998-05-01,0.103284088598143
1998-06-01,0.0354757728068978
1998-07-01,0.0533206028416143
1998-08-01,0.00196958472813657
1998-09-01,-0.0116791935891212
1998-10-01,0.0258740255986119
1998-11-01,0.439415226025241
1998-12-01,0.0575682806083933
1999-01-01,0.142445687415775
1999-02-01,0.236916648135299
1999-03-01,0.339261928129764
1999-04-01,0.069698418607004
1999-05-01,0.0481762797571719
1999-06-01,-0.00287529794011442
1999-07-01,0.0615204420727899
1999-08-01,0.0480136287418039
1999-09-01,0.0880002157978847
1999-10-01,0.0840684609242349
1999-11-01,0.132878679502201
1999-12-01,0.0265666248201991
2000-01-01,0.13351684661826
2000-02-01,0.204272002468878
2000-03-01,0.162816033837208
2000-04-01,0.145135870269899
2000-05-01,0.0375367394770451
2000-06-01,0.042949265904965
2000-07-01,0.0712531863467857
2000-08-01,-0.0300002738811253
2000-09-01,-0.0126580200379803
2000-10-01,0.00242310478989523
2000-11-01,0.431530560788122
2000-12-01,0.334647289610335
2001-01-01,0.0860639956247594
2001-02-01,0.202834997545107
2001-03-01,-0.0857063405772871
2001-04-01,0.118881690762854
2001-05-01,-0.103675283059212
2001-06-01,0.0524478918384938
2001-07-01,0.0983623959320886
2001-08-01,0.0448680325422347
2001-09-01,-0.0699601803166193
2001-10-01,0.109337629803035
2001-11-01,0.286617519017974
2001-12-01,0.25255540752412
2002-01-01,0.0863242581638458
2002-02-01,-0.0413743535478023
2002-03-01,0.119007147579742
2002-04-01,-0.078866107494659
2002-05-01,0.210970470859181
2002-06-01,0.0561589913337403
2002-07-01,-0.00268414826348903
2002-08-01,-0.0528889221300882
2002-09-01,0.0156065830600537
2002-10-01,0.0655699277967436
2002-11-01,0.130239190472778
2002-12-01,0.400403142684982
2003-01-01,0.0580905347333534
2003-02-01,0.102817342975045
2003-03-01,-0.00722625216786539
2003-04-01,0.220327606192725
2003-05-01,-0.0594110127616053
2003-06-01,0.109413376573121
2003-07-01,-0.0195321280764238
2003-08-01,-0.0334398453685156
2003-09-01,0.0835632607510585
2003-10-01,-0.0630474461733164
2003-11-01,0.118930187675038
2003-12-01,0.371959625432889
2004-01-01,0.154840367491401
2004-02-01,0.315161795488426
2004-03-01,0.268351093732885
2004-04-01,0.203681667507183
2004-05-01,0.105207026141995
2004-06-01,0.0867481779340389
2004-07-01,-0.0018565652952973
2004-08-01,0.113992326023955
2004-09-01,0.155155067006403
2004-10-01,0.095916586064656
2004-11-01,0.183449757411533
2004-12-01,0.0177881931747487
2005-01-01,0.248754292016938
2005-02-01,0.309130417626528
2005-03-01,0.17226973397746
2005-04-01,0.209616785159423
2005-05-01,0.00952192104705318
2005-06-01,0.0351674344392017
2005-07-01,0.0786151025649382
2005-08-01,0.0339994648474246
2005-09-01,0.044084582303185
2005-10-01,0.0824266080831183
2005-11-01,-0.106131771967436
2005-12-01,0.4712911047751
2006-01-01,0.124028233134942
2006-02-01,-0.0188372040616481
2006-03-01,0.128129276652111
2006-04-01,0.0981149216497128
2006-05-01,-0.0496541830389539
2006-06-01,-0.0212349723062202
2006-07-01,0.0834641900174098
2006-08-01,0.00863563454549876
2006-09-01,-0.0420651097031493
2006-10-01,0.0879276037670761
2006-11-01,-0.11506062789288
2006-12-01,0.113561603850463
2007-01-01,0.162630725651979
2007-02-01,0.225477370322638
2007-03-01,0.0536473948076101
2007-04-01,0.133321512401814
2007-05-01,-0.0369371696100903
2007-06-01,-0.0259427194500209
2007-07-01,-0.0738074318062337
2007-08-01,0.0624822654007446
2007-09-01,0.262433646468534
2007-10-01,0.0759413610503543
2007-11-01,0.230110727045463
2007-12-01,0.126383314762192
2008-01-01,0.236076996495415
2008-02-01,0.226902850385657
2008-03-01,0.165527758603622
2008-04-01,0.0444344107104587
2008-05-01,0.0589045044277251
2008-06-01,0.0256978432251864
2008-07-01,0.0457189663907879
2008-08-01,0.00278203959983546
2008-09-01,-0.0301548950003399
2008-10-01,0.00826053544213729
2008-11-01,-0.0147178481326288
2008-12-01,-0.164967362968517
2009-01-01,0.0935144924303694
2009-02-01,0.318504759229697
2009-03-01,0.101971495175219
2009-04-01,0.177162115861263
2009-05-01,0.0353279080327844
2009-06-01,0.0595545584295732
2009-07-01,0.077958186757141
2009-08-01,-0.0200945242678634
2009-09-01,0.075702875072325
2009-10-01,0.127126828140934
2009-11-01,0.303561527969404
2009-12-01,0.298414823066975
2010-01-01,0.127962316630319
2010-02-01,0.104674354007113
2010-03-01,0.0863012139487269
2010-04-01,0.161525569124413
2010-05-01,-0.0369514156523759
2010-06-01,0.101042912467771
2010-07-01,-0.0197212473472713
2010-08-01,0.0270442579567316
2010-09-01,0.172477885149419
2010-10-01,0.0373972857137449
2010-11-01,0.00821666011220909
2010-12-01,-0.137324862065725
2011-01-01,0.175790188748839
2011-02-01,0.0236594150330694
2011-03-01,0.151373776263513
2011-04-01,0.0643646918386886
2011-05-01,0.170312748027105
2011-06-01,0.0442382344155617
2011-07-01,0.0405412858201002
2011-08-01,-0.0114448012567924
2011-09-01,0.0512523697425855
2011-10-01,0.101513074522483
2011-11-01,0.198244622900217
2011-12-01,0.18618380508685
2012-01-01,-0.00288392291154845
2012-02-01,0.255956948158287
2012-03-01,0.212879294851085
2012-04-01,0.0276937813919392
2012-05-01,0.0790642272197926
2012-06-01,0.0885265562769962
2012-07-01,0.0677858348845759
2012-08-01,-0.0398895499460022
2012-09-01,0.140516846455977
2012-10-01,0.0209116501126638
2012-11-01,-0.0190626966401136
2012-12-01,0.0857762639171553
2013-01-01,0.262541043727348
2013-02-01,0.260861108446815
2013-03-01,0.110681782565301
2013-04-01,-0.00914479525506197
2013-05-01,-0.0394503981407893
2013-06-01,0.1321823614971
2013-07-01,0.0252896425899096
2013-08-01,-0.0314486931040717
2013-09-01,0.030374315401007
2013-10-01,0.209688861848831
2013-11-01,0.0110346738143735
2013-12-01,-0.00442164423691879
2014-01-01,0.432521079711261
2014-02-01,-0.00698394408599207
2014-03-01,0.226530044162202
2014-04-01,0.323112576933844
2014-05-01,-0.0177520787959414
2014-06-01,0.00320736862929715
2014-07-01,-0.107467328198254
2014-08-01,0.125301183023978
2014-09-01,0.110874040049523
2014-10-01,0.145153115464685
2014-11-01,0.360177585589034
2014-12-01,0.296850845483797
2015-01-01,0.0106216229247539
2015-02-01,-0.136597520183949
2015-03-01,-0.0404856159279699
2015-04-01,0.0786965993521292
2015-05-01,0.308259520236225
2015-06-01,-0.0393246595790732
2015-07-01,0.121194044305455
2015-08-01,-0.0578899283150566
2015-09-01,-0.101924651729253
2015-10-01,0.0965242071612184
2015-11-01,-0.0679044129515421
2015-12-01,0.5146210058814
2016-01-01,0.261972189315462
2016-02-01,0.265864881487297
2016-03-01,0.145629504888174
2016-04-01,-0.0116220478996097
2016-05-01,0.14033960466761
2016-06-01,0.101707082456934
2016-07-01,-0.0216243344385432
2016-08-01,0.0316517068616425
2016-09-01,0.120498028061342
2016-10-01,0.263666244661657
2016-11-01,0.122566073733781
2016-12-01,0.399028867882277
2017-01-01,0.0540292239997403
2017-02-01,0.250571297708943
2017-03-01,0.120641964859152
2017-04-01,0.313217671321971
2017-05-01,0.119097269634949
2017-06-01,0.129761829839221
2017-07-01,0.0373704744699699
2017-08-01,0.0290344231207633
2017-09-01,-0.0718898536593077
2017-10-01,0.264408752577202
2017-11-01,-0.127753487340496
2017-12-01,0.220890436493348
2018-01-01,0.125256383581603
2018-02-01,0.188179176622292
2018-03-01,-0.144110322264688
2018-04-01,0.348701551357018
2018-05-01,0.120300852438612
2018-06-01,0.0032067526203935
2018-07-01,0.0764007657389378
2018-08-01,0.0530273053695315
2018-09-01,0.0494400692817483
2018-10-01,0.097512948789656
2018-11-01,-0.00512912060644123
2018-12-01,0.402690046472431
2019-01-01,0.358702497296257
2019-02-01,0.248853903696207
2019-03-01,0.253045007395225
2019-04-01,0.153061033056084
2019-05-01,-0.0295939314306625
2019-06-01,0.0500282506447028
2019-07-01,0.0411988993984691
2019-08-01,0.123447330574328
2019-09-01,0.0473494851667922
2019-10-01,0.0574926019457745
2019-11-01,0.0449652428256481
2019-12-01,0.0966351624606648
2020-01-01,0.125962699969975
2020-02-01,0.531742633985622
2020-03-01,0.0226792615125998
2020-04-01,0.207467494072348
2020-05-01,0.29309865894417
2020-06-01,0.00863631807095815
2020-07-01,0.0773516470220611
2020-08-01,0.17365025947185
2020-09-01,0.111513054149414
2020-10-01,0.0423329287774063
2020-11-01,0.117755885369011
2020-12-01,0.470394289392668
2021-01-01,0.428883471753493
2021-02-01,0.388622795209466
2021-03-01,0.000753573701894354
